Tên,Cấp,Quận Huyện,Tỉnh / Thành Phố
Phường Ngọc Lâm,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Phúc Lợi,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Bồ Đề,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Sài Đồng,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Long Biên,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Thạch Bàn,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Phúc Đồng,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Cự Khối,Phường,Quận Long Biên,Thành phố Hà Nội
Phường Nghĩa Đô,Phường,Quận Cầu Giấy,Thành phố Hà Nội
Phường Nghĩa Tân,Phường,Quận Cầu Giấy,Thành phố Hà Nội
Phường Mai Dịch,Phường,Quận Cầu Giấy,Thành phố Hà Nội
Phường Dịch Vọng,Phường,Quận Cầu Giấy,Thành phố Hà Nội
Phường Dịch Vọng Hậu,Phường,Quận Cầu Giấy,Thành phố Hà Nội
Phường Quan Hoa,Phường,Quận Cầu Giấy,Thành phố Hà Nội
Phường Yên Hoà,Phường,Quận Cầu Giấy,Thành phố Hà Nội
Phường Trung Hoà,Phường,Quận Cầu Giấy,Thành phố Hà Nội
Phường Cát Linh,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Văn Miếu,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Quốc Tử Giám,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Láng Thượng,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Ô Chợ Dừa,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Văn Chương,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Hàng Bột,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Láng Hạ,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Khâm Thiên,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Thổ Quan,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Nam Đồng,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Trung Phụng,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Quang Trung,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Trung Liệt,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Phương Liên,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Thịnh Quang,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Trung Tự,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Kim Liên,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Phương Mai,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Ngã Tư Sở,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Khương Thượng,Phường,Quận Đống Đa,Thành phố Hà Nội
Phường Nguyễn Du,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Bạch Đằng,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Phạm Đình Hổ,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Lê Đại Hành,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Đồng Nhân,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Phố Huế,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Đống Mác,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Thanh Lương,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Thanh Nhàn,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Cầu Dền,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Bách Khoa,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Đồng Tâm,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Vĩnh Tuy,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Bạch Mai,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Quỳnh Mai,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Quỳnh Lôi,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Minh Khai,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Trương Định,Phường,Quận Hai Bà Trưng,Thành phố Hà Nội
Phường Thanh Trì,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Vĩnh Hưng,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Định Công,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Mai Động,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Tương Mai,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Đại Kim,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Tân Mai,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Hoàng Văn Thụ,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Giáp Bát,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Lĩnh Nam,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Thịnh Liệt,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Trần Phú,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Hoàng Liệt,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Yên Sở,Phường,Quận Hoàng Mai,Thành phố Hà Nội
Phường Nhân Chính,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Thượng Đình,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Khương Trung,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Khương Mai,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Thanh Xuân Trung,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Phương Liệt,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Hạ Đình,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Khương Đình,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Thanh Xuân Bắc,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Thanh Xuân Nam,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Phường Kim Giang,Phường,Quận Thanh Xuân,Thành phố Hà Nội
Thị trấn Sóc Sơn,Thị trấn,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Bắc Sơn,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Minh Trí,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Hồng Kỳ,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Nam Sơn,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Trung Giã,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Tân Hưng,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Minh Phú,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Phù Linh,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Bắc Phú,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Tân Minh,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Quang Tiến,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Hiền Ninh,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Tân Dân,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Tiên Dược,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Việt Long,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Xuân Giang,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Mai Đình,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Đức Hoà,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Thanh Xuân,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Đông Xuân,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Kim Lũ,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Phú Cường,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Phú Minh,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Phù Lỗ,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Xã Xuân Thu,Xã,Huyện Sóc Sơn,Thành phố Hà Nội
Thị trấn Đông Anh,Thị trấn,Huyện Đông Anh,Thành phố Hà Nội
Xã Xuân Nộn,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Thuỵ Lâm,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Bắc Hồng,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Nguyên Khê,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Nam Hồng,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Tiên Dương,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Vân Hà,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Uy Nỗ,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Vân Nội,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Liên Hà,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Việt Hùng,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Kim Nỗ,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Kim Chung,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Dục Tú,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Đại Mạch,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Vĩnh Ngọc,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Cổ Loa,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Hải Bối,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Xuân Canh,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Võng La,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Tàm Xá,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Mai Lâm,Xã,Huyện Đông Anh,Thành phố Hà Nội
Xã Đông Hội,Xã,Huyện Đông Anh,Thành phố Hà Nội
Thị trấn Yên Viên,Thị trấn,Huyện Gia Lâm,Thành phố Hà Nội
Xã Yên Thường,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Yên Viên,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Ninh Hiệp,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Đình Xuyên,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Dương Hà,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Phù Đổng,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Trung Mầu,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Lệ Chi,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Cổ Bi,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Đặng Xá,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Phú Thị,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Kim Sơn,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Thị trấn Trâu Quỳ,Thị trấn,Huyện Gia Lâm,Thành phố Hà Nội
Xã Dương Quang,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Dương Xá,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Đông Dư,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Đa Tốn,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Kiêu Kỵ,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Bát Tràng,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Kim Lan,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Xã Văn Đức,Xã,Huyện Gia Lâm,Thành phố Hà Nội
Phường Cầu Diễn,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Xuân Phương,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Phương Canh,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Mỹ Đình 1,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Mỹ Đình 2,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Tây Mỗ,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Mễ Trì,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Phú Đô,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Đại Mỗ,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Phường Trung Văn,Phường,Quận Nam Từ Liêm,Thành phố Hà Nội
Thị trấn Văn Điển,Thị trấn,Huyện Thanh Trì,Thành phố Hà Nội
Xã Tân Triều,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Thanh Liệt,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Tả Thanh Oai,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Hữu Hoà,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Tam Hiệp,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Tứ Hiệp,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Yên Mỹ,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Vĩnh Quỳnh,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Ngũ Hiệp,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Duyên Hà,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Ngọc Hồi,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Vạn Phúc,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Đại áng,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Liên Ninh,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Xã Đông Mỹ,Xã,Huyện Thanh Trì,Thành phố Hà Nội
Phường Thượng Cát,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Liên Mạc,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Đông Ngạc,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Đức Thắng,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Thụy Phương,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Tây Tựu,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Xuân Đỉnh,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Xuân Tảo,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Minh Khai,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Cổ Nhuế 1,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Cổ Nhuế 2,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Phú Diễn,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Phường Phúc Diễn,Phường,Quận Bắc Từ Liêm,Thành phố Hà Nội
Thị trấn Chi Đông,Thị trấn,Huyện Mê Linh,Thành phố Hà Nội
Xã Đại Thịnh,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Kim Hoa,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Thạch Đà,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Tiến Thắng,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Tự Lập,Xã,Huyện Mê Linh,Thành phố Hà Nội
Thị trấn Quang Minh,Thị trấn,Huyện Mê Linh,Thành phố Hà Nội
Xã Thanh Lâm,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Tam Đồng,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Liên Mạc,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Vạn Yên,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Chu Phan,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Tiến Thịnh,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Mê Linh,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Văn Khê,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Hoàng Kim,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Tiền Phong,Xã,Huyện Mê Linh,Thành phố Hà Nội
Xã Tráng Việt,Xã,Huyện Mê Linh,Thành phố Hà Nội
Phường Nguyễn Trãi,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Mộ Lao,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Văn Quán,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Vạn Phúc,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Yết Kiêu,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Quang Trung,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường La Khê,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Phú La,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Phúc La,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Hà Cầu,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Yên Nghĩa,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Kiến Hưng,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Phú Lãm,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Phú Lương,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Dương Nội,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Đồng Mai,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Biên Giang,Phường,Quận Hà Đông,Thành phố Hà Nội
Phường Lê Lợi,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Phường Phú Thịnh,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Phường Ngô Quyền,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Phường Quang Trung,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Phường Sơn Lộc,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Phường Xuân Khanh,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Xã Đường Lâm,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
Phường Viên Sơn,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Xã Xuân Sơn,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
Phường Trung Hưng,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Xã Thanh Mỹ,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
Phường Trung Sơn Trầm,Phường,Thị xã Sơn Tây,Thành phố Hà Nội
Xã Kim Sơn,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
Xã Sơn Đông,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
Xã Cổ Đông,Xã,Thị xã Sơn Tây,Thành phố Hà Nội
Thị trấn Tây Đằng,Thị trấn,Huyện Ba Vì,Thành phố Hà Nội
Xã Phú Cường,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Cổ Đô,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Tản Hồng,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Vạn Thắng,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Châu Sơn,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Phong Vân,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Phú Đông,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Phú Phương,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Phú Châu,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Thái Hòa,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Đồng Thái,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Phú Sơn,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Minh Châu,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Vật Lại,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Chu Minh,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Tòng Bạt,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Cẩm Lĩnh,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Sơn Đà,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Đông Quang,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Tiên Phong,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Thụy An,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Cam Thượng,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Thuần Mỹ,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Tản Lĩnh,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Ba Trại,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Minh Quang,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Ba Vì,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Vân Hòa,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Yên Bài,Xã,Huyện Ba Vì,Thành phố Hà Nội
Xã Khánh Thượng,Xã,Huyện Ba Vì,Thành phố Hà Nội
Thị trấn Phúc Thọ,Thị trấn,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Vân Hà,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Vân Phúc,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Vân Nam,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Xuân Đình,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Sen Phương,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Võng Xuyên,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Thọ Lộc,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Long Xuyên,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Thượng Cốc,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Hát Môn,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Tích Giang,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Thanh Đa,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Trạch Mỹ Lộc,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Phúc Hòa,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Ngọc Tảo,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Phụng Thượng,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Tam Thuấn,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Tam Hiệp,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Hiệp Thuận,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Xã Liên Hiệp,Xã,Huyện Phúc Thọ,Thành phố Hà Nội
Thị trấn Phùng,Thị trấn,Huyện Đan Phượng,Thành phố Hà Nội
Xã Trung Châu,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Thọ An,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Thọ Xuân,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Hồng Hà,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Liên Hồng,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Liên Hà,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Hạ Mỗ,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Liên Trung,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Phương Đình,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Thượng Mỗ,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Tân Hội,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Tân Lập,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Đan Phượng,Xã,Huyện Đan Phượng,Thành phố Hà Nội
Xã Đồng Tháp,Xã,Huyện Đan Phượng,Thành phố Hà Nội
